update,global_step,sps,mean_episodic_reward,policy_loss,value_loss,entropy_loss
168,344064,849,58.8,0.010440999642014503,0.056646451354026794,2.3192460536956787
169,346112,849,53.3,0.06907394528388977,0.07324299216270447,2.3339195251464844
170,348160,849,53.2,0.02922826074063778,0.055142104625701904,2.2952919006347656
171,350208,849,51.63636363636363,-0.016756918281316757,0.038842909038066864,2.2740702629089355
172,352256,849,52.5,-0.03202805295586586,0.053416088223457336,2.271273612976074
173,354304,849,55.4,-0.10047747194766998,0.04594989866018295,2.2493906021118164
174,356352,849,52.9,-0.07925014197826385,0.06860586255788803,2.2749757766723633
175,358400,849,52.8,-0.6123137474060059,6.760799407958984,2.218172788619995
176,360448,849,57.18181818181818,0.03165265917778015,0.06287269294261932,2.177403211593628
177,362496,849,51.6,0.08279167115688324,0.03937981277704239,2.1157965660095215
178,364544,849,57.3,0.08041533827781677,0.06391408294439316,2.120669364929199
179,366592,849,57.1,0.09383323788642883,0.047748200595378876,2.155740261077881
180,368640,849,53.63636363636363,0.05887248367071152,0.045150987803936005,2.1785316467285156
181,370688,849,53.1,0.03197812661528587,0.04283444955945015,2.2274880409240723
182,372736,849,52.8,0.04760686680674553,0.041930750012397766,2.277315855026245
183,374784,849,53.9,0.06293696910142899,0.03525775671005249,2.29962420463562
184,376832,850,53.72727272727273,0.05808427557349205,0.028398722410202026,2.3282339572906494
185,378880,850,56.2,0.11190100014209747,0.06942710280418396,2.306091785430908
186,380928,850,50.8,0.03720121830701828,0.05696418508887291,2.325948476791382
187,382976,850,59.8,-0.08059410750865936,0.038416169583797455,2.325429677963257
188,385024,850,59.63636363636363,-0.053615111857652664,0.012675998732447624,2.3382351398468018
189,387072,850,57.3,0.05321621894836426,0.018543988466262817,2.3381519317626953
190,389120,850,53.1,-0.019076306372880936,0.02306457981467247,2.3510193824768066
191,391168,850,54.2,0.022320091724395752,0.021936949342489243,2.3571083545684814
192,393216,850,51.63636363636363,0.06761224567890167,0.028915131464600563,2.3396430015563965
193,395264,850,53.2,0.01912345178425312,0.031662583351135254,2.353665590286255
194,397312,850,51.7,0.046300750225782394,0.04435297101736069,2.344785213470459
195,399360,850,49.4,0.06458523869514465,0.038297951221466064,2.3430793285369873
196,401408,850,49.63636363636363,0.08263173699378967,0.05575581640005112,2.3416147232055664
197,403456,850,48.5,-0.013656253926455975,0.027596957981586456,2.341064453125
198,405504,850,53.2,0.06221199035644531,0.03825974464416504,2.339123487472534
199,407552,850,54.6,0.06452836096286774,0.044544268399477005,2.3261942863464355
200,409600,850,61.2,-0.37218761444091797,5.721923351287842,2.239548444747925
201,411648,850,52.81818181818182,0.05675861984491348,0.09995807707309723,2.2723231315612793
202,413696,850,54.2,0.08293896168470383,0.06479263305664062,2.2677769660949707
203,415744,850,53.2,0.0782240480184555,0.06765440106391907,2.254734754562378
204,417792,850,54.4,0.07634924352169037,0.0833076685667038,2.2680115699768066
205,419840,850,51.09090909090909,0.09654038399457932,0.09096254408359528,2.2922797203063965
206,421888,850,55.9,0.0704118013381958,0.08008864521980286,2.303436517715454
207,423936,850,55.3,0.10868848860263824,0.09279309213161469,2.3134007453918457
208,425984,850,63.4,0.1389157474040985,0.0800585001707077,2.289369583129883
209,428032,850,57.45454545454545,0.12731657922267914,0.07002370804548264,2.323885917663574
210,430080,850,57.5,0.09632501751184464,0.09785615652799606,2.3237712383270264
211,432128,850,58.1,0.14096377789974213,0.08315572142601013,2.32794189453125
212,434176,850,59.4,0.1343080997467041,0.08009286969900131,2.329482078552246
213,436224,850,56.81818181818182,0.10300761461257935,0.09849816560745239,2.3232598304748535
214,438272,850,60.2,0.11787937581539154,0.07555010169744492,2.3244540691375732
215,440320,850,60.7,0.14131520688533783,0.053062357008457184,2.3370919227600098
216,442368,850,57.0,0.09067386388778687,0.06528521329164505,2.3315842151641846
217,444416,850,54.0,0.08036401867866516,0.08265680074691772,2.3304450511932373
218,446464,850,55.7,0.12039540708065033,0.10714747756719589,2.314277172088623
219,448512,850,57.5,0.123086117208004,0.06256277114152908,2.333984851837158
220,450560,850,49.8,0.11170141398906708,0.05586050823330879,2.318666934967041
221,452608,849,60.18181818181818,0.06275540590286255,0.07457629591226578,2.3290956020355225
222,454656,849,50.6,0.12230077385902405,0.082028329372406,2.3297996520996094
223,456704,849,51.7,0.11988260596990585,0.07352858781814575,2.3329596519470215
224,458752,849,58.5,0.11960416287183762,0.042696863412857056,2.337862730026245
225,460800,849,57.0,-0.30723124742507935,3.971651554107666,2.3130483627319336
226,462848,849,51.72727272727273,0.1800520420074463,0.06487299501895905,2.2906887531280518
227,464896,849,54.1,0.10322634130716324,0.03232300654053688,2.3091812133789062
228,466944,849,53.1,0.0800459235906601,0.018193572759628296,2.3234610557556152
229,468992,849,56.3,0.07417502999305725,0.07010660320520401,2.3223280906677246
230,471040,849,59.90909090909091,0.04129998758435249,0.028708338737487793,2.3145034313201904
231,473088,849,54.1,0.050249114632606506,0.01811175048351288,2.328033447265625
232,475136,849,58.9,-0.056227609515190125,0.03201790153980255,2.324126720428467
233,477184,849,60.6,0.00903261173516512,0.0125662162899971,2.3396315574645996
234,479232,849,52.63636363636363,-0.008094935677945614,0.01072483416646719,2.3334689140319824
235,481280,849,55.1,0.006456092931330204,0.04439231753349304,2.3402347564697266
236,483328,849,55.8,0.04307659715414047,0.025799622759222984,2.3319733142852783
237,485376,849,58.2,0.04097982123494148,0.013394770212471485,2.338809013366699
238,487424,849,57.45454545454545,0.01615438237786293,0.025735482573509216,2.3298416137695312
239,489472,849,56.9,0.019890978932380676,0.017419831827282906,2.352185010910034
240,491520,849,51.8,0.04533098638057709,0.033364437520504,2.356320858001709
241,493568,849,52.8,0.02133108302950859,0.036170653998851776,2.360842227935791
242,495616,849,54.0,0.014326496049761772,0.03476850688457489,2.3596911430358887
243,497664,849,57.8,0.024174941703677177,0.018597399815917015,2.3533945083618164
244,499712,849,51.7,0.0034495824947953224,0.02671302855014801,2.3627099990844727
245,501760,849,51.0,0.007759060710668564,0.019407019019126892,2.3529133796691895
246,503808,849,52.72727272727273,0.08087383210659027,0.027017276734113693,2.3470778465270996
247,505856,849,55.5,-0.03481458127498627,0.01488950289785862,2.3516769409179688
248,507904,849,54.8,0.051707442849874496,0.06531734764575958,2.344867706298828
249,509952,849,50.6,0.018071021884679794,0.02051601931452751,2.3627681732177734
250,512000,849,54.3,-0.6135267615318298,7.566701889038086,2.3229517936706543
251,514048,849,55.81818181818182,0.1129009798169136,0.0652608871459961,2.291497230529785
252,516096,849,54.1,0.05455590784549713,0.055525392293930054,2.3152785301208496
253,518144,849,55.2,0.05344892293214798,0.02136479876935482,2.3285841941833496
254,520192,849,60.2,0.02645409293472767,0.0548911988735199,2.333405017852783
255,522240,849,56.09090909090909,0.0711730420589447,0.04295557364821434,2.3375821113586426
256,524288,849,52.8,0.088278628885746,0.025009578093886375,2.35585880279541
257,526336,849,51.7,0.06716924905776978,0.020243827253580093,2.3420329093933105
258,528384,849,52.5,0.022116489708423615,0.01890457794070244,2.3383517265319824
259,530432,849,54.45454545454545,0.034917742013931274,0.022541778162121773,2.3352890014648438
260,532480,849,59.3,0.02611742727458477,0.006533014588057995,2.352808713912964
261,534528,849,57.3,-0.0075359768234193325,0.03284875676035881,2.323093891143799
262,536576,850,54.6,0.02761581912636757,0.025856535881757736,2.3508822917938232
263,538624,850,52.72727272727273,0.024944614619016647,0.03171569108963013,2.331037998199463
264,540672,850,57.1,0.02062724158167839,0.024456270039081573,2.3469080924987793
265,542720,850,54.0,-0.04309121146798134,0.026796473190188408,2.358768939971924
266,544768,850,52.0,-0.03000568225979805,0.03126945346593857,2.3582639694213867
267,546816,849,54.72727272727273,-0.08584317564964294,0.031422533094882965,2.3367919921875
268,548864,849,55.4,-0.03462854400277138,0.00857214443385601,2.349550247192383
269,550912,849,56.9,-0.042255699634552,0.01558047253638506,2.3530349731445312
270,552960,849,58.3,-0.0027483582962304354,0.011010732501745224,2.356811046600342
271,555008,849,54.72727272727273,0.03990206867456436,0.042803648859262466,2.3561630249023438
272,557056,849,55.0,-0.05833064764738083,0.01698440872132778,2.349468231201172
273,559104,849,53.9,-0.015169602818787098,0.009221978485584259,2.353349447250366
274,561152,849,51.6,-0.02643824741244316,0.014796271920204163,2.3659300804138184
275,563200,849,55.0,-0.2993338704109192,4.478456020355225,2.324228286743164
276,565248,849,52.72727272727273,0.014675252139568329,0.06830884516239166,2.3343873023986816
277,567296,849,54.8,0.03378245234489441,0.048638876527547836,2.3504652976989746
278,569344,849,59.5,0.007696432061493397,0.03127634897828102,2.3599514961242676
279,571392,849,60.3,0.0274215005338192,0.03149814158678055,2.3373947143554688
280,573440,849,57.72727272727273,0.048688001930713654,0.043403260409832,2.3465402126312256
281,575488,849,61.5,-0.01166239008307457,0.013725214637815952,2.357773780822754
282,577536,849,57.4,0.023494038730859756,0.01492854580283165,2.348830223083496
283,579584,849,57.8,0.03310011699795723,0.01236712746322155,2.3533477783203125
284,581632,849,55.18181818181818,-0.005146658979356289,0.01709659770131111,2.3602821826934814
285,583680,849,44.7,-0.015743568539619446,0.02132849395275116,2.3582730293273926
286,585728,849,53.2,-0.013436639681458473,0.02795952558517456,2.3647379875183105
287,587776,849,50.9,-0.01162845641374588,0.017177121713757515,2.369326591491699
288,589824,849,58.36363636363637,-0.005392288323491812,0.013383890502154827,2.369874954223633
289,591872,849,50.6,-0.005216388031840324,0.016488097608089447,2.371189832687378
290,593920,849,54.9,-0.02266627736389637,0.024755053222179413,2.366119384765625
291,595968,849,56.1,-0.0346488356590271,0.021428648382425308,2.373955726623535
292,598016,849,56.27272727272727,-0.027990002185106277,0.011699975468218327,2.368666410446167
293,600064,849,59.2,0.011224927380681038,0.014335856772959232,2.372580051422119
294,602112,849,54.9,-0.021884268149733543,0.015582947060465813,2.377615451812744
295,604160,849,52.6,0.024908078834414482,0.03278825059533119,2.3662428855895996
296,606208,849,50.90909090909091,-0.027959749102592468,0.009034590795636177,2.374884605407715
297,608256,849,53.2,-0.0016764180036261678,0.014865774661302567,2.3681864738464355
298,610304,849,51.0,-0.0157172828912735,0.010237256065011024,2.3797221183776855
299,612352,849,53.6,0.023392515257000923,0.009401554241776466,2.375058174133301
300,614400,849,54.0,-0.3639163672924042,3.5019824504852295,2.3691394329071045
301,616448,849,57.27272727272727,0.050010912120342255,0.04992390051484108,2.3564443588256836
302,618496,849,55.7,0.057648785412311554,0.03364403173327446,2.3671956062316895
303,620544,849,54.1,0.0061421263962984085,0.059213027358055115,2.3575031757354736
304,622592,849,51.7,0.05185912549495697,0.023401450365781784,2.373777151107788
305,624640,849,53.81818181818182,0.024007659405469894,0.029992882162332535,2.368364095687866
306,626688,849,60.7,0.007525886874645948,0.011719160713255405,2.3680500984191895
307,628736,849,56.4,0.007129729259759188,0.017787521705031395,2.3774547576904297
308,630784,849,55.8,-0.0012938622385263443,0.015352996066212654,2.3815157413482666
309,632832,849,56.18181818181818,0.028937024995684624,0.011472590267658234,2.3694844245910645
310,634880,849,48.6,0.0020200922153890133,0.016902167350053787,2.3729124069213867
311,636928,849,55.9,0.02111169509589672,0.01286262832581997,2.3806161880493164
312,638976,849,57.6,-0.004373799543827772,0.01133603136986494,2.3813908100128174
313,641024,849,54.27272727272727,0.013480640947818756,0.018557464703917503,2.3651647567749023
314,643072,849,47.7,0.0060459524393081665,0.008282125927507877,2.375098705291748
315,645120,849,62.4,-0.0014159507118165493,0.00974326953291893,2.378591537475586
316,647168,849,53.2,0.006953866221010685,0.018739672377705574,2.381986141204834
317,649216,849,55.81818181818182,0.016870835795998573,0.01766495779156685,2.3844761848449707
318,651264,849,57.5,-0.028948301449418068,0.013264359906315804,2.371483325958252
319,653312,849,56.2,0.018957478925585747,0.020852617919445038,2.3790905475616455
320,655360,849,52.9,0.05472210794687271,0.02078341320157051,2.3785080909729004
321,657408,849,55.27272727272727,0.011880076490342617,0.008003728464245796,2.3847150802612305
322,659456,849,57.6,0.019785478711128235,0.007463274523615837,2.3819894790649414
323,661504,849,52.7,0.0832701027393341,0.00956515409052372,2.3782432079315186
324,663552,849,55.3,0.012105478905141354,0.034038297832012177,2.374025821685791
325,665600,849,53.9,-0.12802918255329132,1.1306203603744507,2.3689169883728027
326,667648,849,54.09090909090909,-0.02775789052248001,0.02391848899424076,2.351465940475464
327,669696,849,52.1,-0.012461770325899124,0.019213726744055748,2.367873191833496
328,671744,849,55.1,-0.049926746636629105,0.03786719962954521,2.372284412384033
329,673792,849,54.0,0.00972733460366726,0.018039660528302193,2.3765573501586914
330,675840,849,57.72727272727273,-0.04828657954931259,0.0280514694750309,2.362417459487915
331,677888,849,52.5,0.012572603300213814,0.011691946536302567,2.359806776046753
332,679936,849,56.9,-0.02806819975376129,0.008352752774953842,2.360503911972046
333,681984,849,50.3,0.0004266910254955292,0.017470041289925575,2.362149477005005
334,684032,849,52.0,0.0007216436788439751,0.024149727076292038,2.3663125038146973
335,686080,849,52.6,0.02697344310581684,0.006343463435769081,2.3598437309265137
336,688128,849,56.9,0.040264010429382324,0.02276133932173252,2.3599586486816406
337,690176,849,52.0,0.004779382608830929,0.014587233774363995,2.366882801055908
338,692224,849,55.81818181818182,0.005025309510529041,0.009003819897770882,2.370014190673828
339,694272,849,53.3,-0.014576430432498455,0.005403958726674318,2.3722269535064697
340,696320,849,50.8,-0.02902059815824032,0.011131676845252514,2.367549419403076
341,698368,849,56.6,-0.015113888308405876,0.008843664079904556,2.3669638633728027
342,700416,849,53.0,0.01165404636412859,0.011755388230085373,2.372297763824463
343,702464,849,51.7,-0.006528254132717848,0.010959433391690254,2.3781981468200684
344,704512,849,58.5,-0.0013247067108750343,0.008519191294908524,2.3762717247009277
345,706560,849,56.6,-0.028012588620185852,0.007673017214983702,2.3817086219787598
346,708608,849,59.09090909090909,-0.023695755749940872,0.015146622434258461,2.349839210510254
347,710656,849,55.1,-0.023596663028001785,0.011712761595845222,2.3742358684539795
348,712704,849,54.0,-0.011491269804537296,0.015006267465651035,2.35819673538208
349,714752,849,61.2,0.003785430919378996,0.002936817705631256,2.3813469409942627
350,716800,849,55.9,-0.5249913930892944,8.155820846557617,2.373289108276367
351,718848,849,52.0,-0.02432003989815712,0.06193425506353378,2.3622303009033203
352,720896,849,52.6,-0.02341092750430107,0.04064374417066574,2.356891632080078
353,722944,849,47.7,0.020510386675596237,0.014655588194727898,2.3666205406188965
354,724992,849,56.5,0.0002643431071192026,0.02531145140528679,2.3602962493896484
355,727040,849,55.90909090909091,0.023062577471137047,0.01167270913720131,2.365753650665283
356,729088,849,53.3,0.04570002853870392,0.0154448626562953,2.363462448120117
357,731136,849,51.1,-0.02404000237584114,0.005137883126735687,2.37339448928833
